_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302cc324a,QER51XPD0,15,UCNE
5885864dbebc58b0fe92b09302c86ca8,FVCTQSX5Y,15,UCNE
5885864dbebc58b0fe92b09302caa850,F8Q2D9591,15,UCNE
5885864dbebc58b0fe92b09302cbedd4,0ZWKPKF6=,15,UCNE
5885864dbebc58b0fe92b09302cb38a9,Y2C1QFA5P,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302cb0e69,KY74BHJ0$,15,UCNE
5885864dbebc58b0fe92b09302c732df,FNCXE1X7=,15,UCNE
5885864dbebc58b0fe92b09302c9b09e,CXJSX462Z,15,UCNE
5885864dbebc58b0fe92b09302ca9acb,C74SYBZ7Z,15,UCNE
5885864dbebc58b0fe92b09302c70284,88X3BSMSM,15,UCNE
5885864dbebc58b0fe92b09302c6404c,Y1YFTK7W4,15,UCNE
5885864dbebc58b0fe92b09302ca114f,CMZ7D6AB7,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c60bab,2EJSGFG9E,15,UCNE
5885864dbebc58b0fe92b09302ca1806,K7MK9KA1T,,
5885864dbebc58b0fe92b09302c8e081,T8BWVXTF$,15,UCNE
5885864dbebc58b0fe92b09302c9908d,NR4KHA42*,,
5885864dbebc58b0fe92b09302c96432,95B228EVC,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c980a4,48Z7ZDPE~,15,UCNE
5885864dbebc58b0fe92b09302c55712,N1P6Y3QC8,15,UCNE
5885864dbebc58b0fe92b09302c91657,9TJP0G28H,15,UCNE
5885864dbebc58b0fe92b09302c8613a,9T53XAWPC,15,UCNE
5885864dbebc58b0fe92b09302c896a8,ZDMJE5N1$,15,UCNE
5885864dbebc58b0fe92b09302c41902,ET30TCVBH,15,UCNE
5885864dbebc58b0fe92b09302c79734,DQN9904QN,15,UCNE
5885864dbebc58b0fe92b09302c836b4,Q5ST2QQSD,15,UCNE
5885864dbebc58b0fe92b09302c33bb2,NARZTHPXZ,15,UCNE
5885864dbebc58b0fe92b09302c7cdec,EH0DW71C6,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c7eacd,TZPFDZ7XT,15,UCNE
5885864dbebc58b0fe92b09302c82b0c,0RNZPNRKA,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c7a847,72MP7EEZE,15,UCNE
5885864dbebc58b0fe92b09302c1cc64,92S0GQ2EC,15,UCNE
5885864dbebc58b0fe92b09302c781a7,4M8TKS1JN,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c6f45f,RGRKMGZTW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c6b515,V6ATS4Z1C,15,UCNE
5885864dbebc58b0fe92b09302c69861,3XC81CB9A,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c61207,58M94KHXP,15,UCNE
5885864dbebc58b0fe92b09302c60aa2,41DFN9RJ5,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c503c4,5BCX7WE9Y,15,UCNE
5885864dbebc58b0fe92b09302c59b89,M3YG9R3BD,15,UCNE
5885864dbebc58b0fe92b09302c5f1a3,6YVKQMN9W,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c5ab66,VHPPV6ANJ,15,UCNE
5885864dbebc58b0fe92b09302c56e83,9VRW4N09K,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bfe2e4,7Y29ZH96C,15,UCNE
5885864dbebc58b0fe92b09302c55d5d,W7MD07YF=,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c57eaf,P933GBPRC,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c51d98,EPH9PYNWY,15,UCNE
5885864dbebc58b0fe92b09302bf3197,Z51T79G8Q,15,UCNE
